missionTime,Change_in_temp: S1_TC_BC_Ambient.temperature
-23.04000282,-14.84712810992869
-22.94000244,-12.050081665074572
-22.84000206,-12.0501103932971
-22.74000168,-12.048041961275525
-22.6400013,-6.452094817409623
-22.54000282,12.048256020897215
-22.44000244,12.048284745931472
-22.34000206,12.048141120760164
-22.24000168,12.048284745931475
-22.1400013,9.250322783583421
62.05999756,-23.381682505234707
62.25999451,-23.381682505234714
62.65999603,11.684931502677156
62.8599968,11.687104704766387
63.05999756,11.686045965287018
63.25999451,11.686213134678496
